transaction_id,user_id,transaction_time,ip,device_id,phone_number,credit_card_number,order_item,amount,is_fraud
05987d33-9bcd-4455-9d7c-2f043b007b10,0,2024-05-07,219.20.206.172,8efe3214-ea7f-47ef-bb30-716e28f02600,(527)638-2221x33874,4908554227138584,Accessories,201631,False
013414be-3e37-48fb-aab2-5f42a4933db8,0,2024-05-09,219.20.206.172,8efe3214-ea7f-47ef-bb30-716e28f02600,(527)638-2221x33874,4908554227138584,Kids Products,281063,False
c6d1eed6-2c40-44f0-8a6f-fec0f8f7a83b,0,2024-05-12,219.20.206.172,8efe3214-ea7f-47ef-bb30-716e28f02600,(527)638-2221x33874,4908554227138584,Cosmetics,279119,False
90321501-3b4f-4cd3-92e9-ae1531b6b705,0,2024-05-01,219.20.206.172,8efe3214-ea7f-47ef-bb30-716e28f02600,(527)638-2221x33874,4908554227138584,Accessories,253019,False
2169fe4b-772a-45ef-9478-dbc48ee0e331,0,2024-05-09,219.20.206.172,8efe3214-ea7f-47ef-bb30-716e28f02600,(527)638-2221x33874,4908554227138584,Food,170733,False
d89df41f-e9fe-4149-a495-41e43f3f57c8,1,2024-05-05,2.178.44.162,fbd3f57f-7eb0-421f-be0e-f213aacd61c1,+1-376-399-1960,379367180249878,Stationery,239896,False
564173c6-57f3-4173-9567-e1a104e572ac,1,2024-05-14,2.178.44.162,fbd3f57f-7eb0-421f-be0e-f213aacd61c1,+1-376-399-1960,379367180249878,Cosmetics,117227,False
98b9d2df-4963-4e72-aee1-cc5bd0f21593,1,2024-05-14,2.178.44.162,fbd3f57f-7eb0-421f-be0e-f213aacd61c1,+1-376-399-1960,379367180249878,Cosmetics,221353,False
29b5a7f8-ad32-4c0f-ba45-87e10434fdd5,1,2024-05-12,2.178.44.162,fbd3f57f-7eb0-421f-be0e-f213aacd61c1,+1-376-399-1960,379367180249878,Smartphone,34412,False
e1dc127a-f7dc-4867-b361-af417c7d2f4d,1,2024-05-08,2.178.44.162,fbd3f57f-7eb0-421f-be0e-f213aacd61c1,+1-376-399-1960,379367180249878,Accessories,195808,False
f3299a3f-6c25-4d56-b6f3-e923a42e2d7a,2,2024-05-08,112.112.244.160,d22c1bf5-584e-44d3-a87f-3b840909aa0d,(969)401-5852,3543198250964525,Travel Goods,106121,False
9373d819-e1da-4d86-bdf2-8aa08569550a,2,2024-05-13,112.112.244.160,d22c1bf5-584e-44d3-a87f-3b840909aa0d,(969)401-5852,3543198250964525,Smartphone,63126,False
c5648bd0-d74f-4b99-a053-89c4cd0e29ff,2,2024-05-04,112.112.244.160,d22c1bf5-584e-44d3-a87f-3b840909aa0d,(969)401-5852,3543198250964525,Food,29949,False
ff8f49e4-5794-4356-b370-12ae7419b51b,2,2024-05-07,112.112.244.160,d22c1bf5-584e-44d3-a87f-3b840909aa0d,(969)401-5852,3543198250964525,Travel Goods,271455,False
7557cbcb-a525-4526-8704-6c4a7f086f73,2,2024-05-07,112.112.244.160,d22c1bf5-584e-44d3-a87f-3b840909aa0d,(969)401-5852,3543198250964525,Clothing,272645,False
b0d51a13-1fd3-4a0e-9c6a-90b2bed41f8e,3,2024-05-14,137.78.78.236,4ae3a030-af08-42c5-a67f-085daa52e97c,3106304741,349591683178097,Travel Goods,281686,False
32846e0d-099b-4be1-99db-5b22a7977252,3,2024-05-03,137.78.78.236,4ae3a030-af08-42c5-a67f-085daa52e97c,3106304741,349591683178097,Cosmetics,266933,False
f14c8b7f-205b-4932-9d8f-6a47642c0c75,3,2024-05-02,137.78.78.236,4ae3a030-af08-42c5-a67f-085daa52e97c,3106304741,349591683178097,Clothing,13468,False
770012de-b3f7-4787-bf32-76d3c3a05f11,3,2024-05-07,137.78.78.236,4ae3a030-af08-42c5-a67f-085daa52e97c,3106304741,349591683178097,Electronics,117538,False
04318266-6a6d-46d5-8d93-b41cff793209,3,2024-05-13,137.78.78.236,4ae3a030-af08-42c5-a67f-085daa52e97c,3106304741,349591683178097,Smartphone,132615,False
bc981e20-a5c0-45ce-8921-5c6e9ef122ec,4,2024-05-14,35.189.232.153,5d0a7008-2e01-4530-b458-821365aa3002,963-774-8286x2193,213102531843131,Cosmetics,106849,False
15b7e2cc-6e17-4f04-b64a-3104987ce2cb,4,2024-05-13,35.189.232.153,5d0a7008-2e01-4530-b458-821365aa3002,963-774-8286x2193,213102531843131,Clothing,220948,False
ae7aee50-d02d-4b53-983d-1764f68865c6,4,2024-05-15,35.189.232.153,5d0a7008-2e01-4530-b458-821365aa3002,963-774-8286x2193,213102531843131,Kids Products,161768,False
9bbb43ea-214b-4e87-9e42-2597428a5e95,4,2024-05-15,35.189.232.153,5d0a7008-2e01-4530-b458-821365aa3002,963-774-8286x2193,213102531843131,Laptop,22168,False
4d499fa5-9ddb-463b-92f8-20d444cf536f,4,2024-05-12,35.189.232.153,5d0a7008-2e01-4530-b458-821365aa3002,963-774-8286x2193,213102531843131,Accessories,294923,False
8bfaa6cb-99ee-42e9-9511-b3d7887cdbad,5,2024-05-12,56.9.176.213,d4798128-ce7f-46ed-aece-43abf5ee279f,366-952-4225x77864,38282199688847,Stationery,148286,False
7d58b38b-950e-456a-afe0-7fec62c04259,5,2024-05-09,56.9.176.213,d4798128-ce7f-46ed-aece-43abf5ee279f,366-952-4225x77864,38282199688847,Food,199732,False
9a2f832c-de1f-4c35-a449-24392b270c43,5,2024-05-14,56.9.176.213,d4798128-ce7f-46ed-aece-43abf5ee279f,366-952-4225x77864,38282199688847,Electronics,145894,False
2af4e848-668c-4f55-9cba-d939160c545f,5,2024-05-06,56.9.176.213,d4798128-ce7f-46ed-aece-43abf5ee279f,366-952-4225x77864,38282199688847,Travel Goods,77301,False
09fe0be1-b06b-4d66-b00c-fe537137ab4a,5,2024-05-06,56.9.176.213,d4798128-ce7f-46ed-aece-43abf5ee279f,366-952-4225x77864,38282199688847,Stationery,95612,False
409f7b9f-426f-4e2d-a2e7-ed2670edb1a4,6,2024-05-08,146.141.156.46,9559c175-2926-4855-90a0-a6b4420b5a61,(461)339-6557x8988,676119476668,Accessories,156641,False
5a2fcd50-5515-4675-84ed-7651f8f75c5e,6,2024-05-08,146.141.156.46,9559c175-2926-4855-90a0-a6b4420b5a61,(461)339-6557x8988,676119476668,Travel Goods,45726,False
c85ed572-72c6-4bef-898a-a88ae48d8a18,6,2024-05-07,146.141.156.46,9559c175-2926-4855-90a0-a6b4420b5a61,(461)339-6557x8988,676119476668,Cosmetics,194822,False
df67b90f-e0bd-43f7-80d0-ea7c1c11f42d,6,2024-05-05,146.141.156.46,9559c175-2926-4855-90a0-a6b4420b5a61,(461)339-6557x8988,676119476668,Travel Goods,150442,False
1bf133e3-3a73-495e-80f3-f5a3ef9b3bf6,6,2024-05-15,146.141.156.46,9559c175-2926-4855-90a0-a6b4420b5a61,(461)339-6557x8988,676119476668,Clothing,75395,False
ad1095ac-d162-4f36-8458-9ed035c4a375,7,2024-05-14,133.21.157.122,ce2cee80-3d1a-44bf-9446-e11ea1330c52,893-772-0320x7058,346885917790351,Accessories,268837,False
d78e0251-9bb0-4574-9602-01d685868556,7,2024-05-08,133.21.157.122,ce2cee80-3d1a-44bf-9446-e11ea1330c52,893-772-0320x7058,346885917790351,Accessories,120857,False
e15b6677-b847-41ce-8dcc-5f0e3d163a16,7,2024-05-05,133.21.157.122,ce2cee80-3d1a-44bf-9446-e11ea1330c52,893-772-0320x7058,346885917790351,Travel Goods,22915,False
bbe302d5-ce24-4e48-a559-f9933b563584,7,2024-05-05,133.21.157.122,ce2cee80-3d1a-44bf-9446-e11ea1330c52,893-772-0320x7058,346885917790351,Kids Products,190337,False
3cfdd944-09d3-4482-bc46-e54934051238,7,2024-05-07,133.21.157.122,ce2cee80-3d1a-44bf-9446-e11ea1330c52,893-772-0320x7058,346885917790351,Accessories,293041,False
8f137b47-b073-4a61-a602-c900abfd8af3,8,2024-05-03,46.39.59.192,99fc16b1-f57a-443d-811d-78f1438919a1,439-290-2939x33060,4136256516659444164,Stationery,226764,False
f24d7dcb-cef8-44a6-8865-b3d0bee48626,8,2024-05-11,46.39.59.192,99fc16b1-f57a-443d-811d-78f1438919a1,439-290-2939x33060,4136256516659444164,Travel Goods,20113,False
c60d57c8-d353-49f9-a7fb-4dd173ef2efb,8,2024-05-05,46.39.59.192,99fc16b1-f57a-443d-811d-78f1438919a1,439-290-2939x33060,4136256516659444164,Food,98002,False
6080f5d2-f51f-431f-bbe6-b656b75b4a8f,8,2024-05-03,46.39.59.192,99fc16b1-f57a-443d-811d-78f1438919a1,439-290-2939x33060,4136256516659444164,Cosmetics,217352,False
bccd4304-5bb1-4a63-aada-4c5a49e43f2c,8,2024-05-01,46.39.59.192,99fc16b1-f57a-443d-811d-78f1438919a1,439-290-2939x33060,4136256516659444164,Clothing,102768,False
f58adfed-f735-44b9-842a-4ba18b2b8bae,9,2024-05-03,131.183.164.25,acda0f98-4872-41e1-97d8-53dddf3d0d65,399.293.5377,6540257369077029,Electronics,218366,False
b94586fa-def6-4cef-b7c4-bfcb3a149f2d,9,2024-05-11,131.183.164.25,acda0f98-4872-41e1-97d8-53dddf3d0d65,399.293.5377,6540257369077029,Kids Products,266110,False
0b53f009-aec6-4e1b-942d-83d0beab8870,9,2024-05-11,131.183.164.25,acda0f98-4872-41e1-97d8-53dddf3d0d65,399.293.5377,6540257369077029,Travel Goods,108276,False
b247bdb5-2f88-4ad0-9b57-fc483af24e64,9,2024-05-06,131.183.164.25,acda0f98-4872-41e1-97d8-53dddf3d0d65,399.293.5377,6540257369077029,Accessories,211743,False
99d3461e-7510-4005-af5b-b73bc8d60a51,9,2024-05-06,131.183.164.25,acda0f98-4872-41e1-97d8-53dddf3d0d65,399.293.5377,6540257369077029,Smartphone,144906,False
223b9a87-44f3-43bb-9339-d195438c5f6b,10,2024-05-09,73.235.246.155,ec609e4c-96f8-4102-a0ba-a7e81644995d,001-438-403-5640x686,341398890506575,Electronics,3243,False
4bf576c5-0571-46c2-adbb-fe897af6acb4,10,2024-05-12,73.235.246.155,ec609e4c-96f8-4102-a0ba-a7e81644995d,001-438-403-5640x686,341398890506575,Food,17658,False
d6184f7c-2543-4303-824d-6235214f48b2,10,2024-05-05,73.235.246.155,ec609e4c-96f8-4102-a0ba-a7e81644995d,001-438-403-5640x686,341398890506575,Laptop,162614,False
e85a7c93-83cf-427e-b7e2-401fe8e346d3,10,2024-05-02,73.235.246.155,ec609e4c-96f8-4102-a0ba-a7e81644995d,001-438-403-5640x686,341398890506575,Electronics,160404,False
9d583fef-158e-468f-bd72-41784c0df5d0,10,2024-05-03,73.235.246.155,ec609e4c-96f8-4102-a0ba-a7e81644995d,001-438-403-5640x686,341398890506575,Clothing,248810,False
ad1e73bf-daaf-4e60-b33f-d937c87a02ec,11,2024-05-08,181.122.178.126,b67cf10e-f510-450f-9431-d8c5de1cdb23,576-468-5100x7059,3573600260594823,Stationery,142154,False
26c1a15f-47d7-4c49-b3e0-0fb4ebc5b4f7,11,2024-05-06,181.122.178.126,b67cf10e-f510-450f-9431-d8c5de1cdb23,576-468-5100x7059,3573600260594823,Cosmetics,155060,False
73324055-5d21-4564-9fda-2c8c6e73bbe8,11,2024-05-02,181.122.178.126,b67cf10e-f510-450f-9431-d8c5de1cdb23,576-468-5100x7059,3573600260594823,Travel Goods,259375,False
27cead01-6d1d-487d-b0d5-8eaaf38f111e,11,2024-05-03,181.122.178.126,b67cf10e-f510-450f-9431-d8c5de1cdb23,576-468-5100x7059,3573600260594823,Cosmetics,54596,False
5f7a9f21-704f-41ed-82f6-b52b31aafb87,11,2024-05-11,181.122.178.126,b67cf10e-f510-450f-9431-d8c5de1cdb23,576-468-5100x7059,3573600260594823,Food,18939,False
81723241-97c1-4446-98df-7514ca981f8d,12,2024-05-03,140.103.181.158,f8150b90-e31b-4f98-ba49-9f04284a3abf,(416)265-1865,3595190918363502,Electronics,243942,False
7ce4d6cc-1b01-4478-9a58-ec34961b268a,12,2024-05-05,140.103.181.158,f8150b90-e31b-4f98-ba49-9f04284a3abf,(416)265-1865,3595190918363502,Electronics,106009,False
4bb87bcd-d7fc-4dd3-8ce4-9137c3c994b6,12,2024-05-02,140.103.181.158,f8150b90-e31b-4f98-ba49-9f04284a3abf,(416)265-1865,3595190918363502,Smartphone,294655,False
7ab71072-583d-4fab-9507-d233bf76a4ea,12,2024-05-01,140.103.181.158,f8150b90-e31b-4f98-ba49-9f04284a3abf,(416)265-1865,3595190918363502,Cosmetics,193463,False
5a35ceb4-aebc-48bb-85f1-5151e5df0bfc,12,2024-05-07,140.103.181.158,f8150b90-e31b-4f98-ba49-9f04284a3abf,(416)265-1865,3595190918363502,Laptop,191812,False
b23d241d-3a06-4f68-89f8-9e903dcfba5a,13,2024-05-05,213.228.176.95,94efa850-3f79-4a23-9ed5-85b4799bd8cd,001-619-842-5432x3163,213137708354819,Clothing,19217,False
6e240dbb-d501-4e44-8760-3bbe897ed556,13,2024-05-03,213.228.176.95,94efa850-3f79-4a23-9ed5-85b4799bd8cd,001-619-842-5432x3163,213137708354819,Travel Goods,11332,False
765f04a5-b3e6-4325-8799-88f42fe66564,13,2024-05-05,213.228.176.95,94efa850-3f79-4a23-9ed5-85b4799bd8cd,001-619-842-5432x3163,213137708354819,Stationery,201752,False
82a6ff70-8a76-4d21-84ef-586210242f74,13,2024-05-15,213.228.176.95,94efa850-3f79-4a23-9ed5-85b4799bd8cd,001-619-842-5432x3163,213137708354819,Kids Products,227604,False
55f1b324-c49d-4852-b693-18d3d237a8cf,13,2024-05-13,213.228.176.95,94efa850-3f79-4a23-9ed5-85b4799bd8cd,001-619-842-5432x3163,213137708354819,Travel Goods,3445,False
62383933-fd1f-43d7-85b6-37afdabdf964,14,2024-05-01,43.22.212.14,ec6114d0-f959-405d-b3a2-6271e8094488,+1-622-318-5528x947,4959692688200085,Stationery,273087,False
1941ce7d-e698-453c-8ff1-5b40ae3d98a1,14,2024-05-12,43.22.212.14,ec6114d0-f959-405d-b3a2-6271e8094488,+1-622-318-5528x947,4959692688200085,Accessories,35404,False
